id,test_module,test_case
1,Общие параметры сайта,OpenGraf 
2,Общие параметры сайта,Микроразметка Сайта
3,Общие параметры сайта,Фавикон
4,Общие параметры сайта,Почта
5,Шапка сайта,Контакты
6,Шапка сайта,Логотип
7,Шапка сайта,Верхнее меню
8,Шапка сайта,Слайдер
9,Шапка сайта,Социальные кнопки
10,Подвал сайта,Контактные данные
11,Подвал сайта,Копирайт Web-canape
12,Подвал сайта,Общие параметры
13,Шапка сайта,Общие параметры
14,Шапка сайта,Адаптивное меню
15,Элементы сайта,Левое меню
16,Элементы сайта,Разводка
17,Элементы сайта,Галереи
18,Элементы сайта,Хлебные крошки
19,Элементы сайта,Карусели элементов
20,Общие параметры сайта,Микроразметка контактов
21,Формы,Внешний вид
22,Формы,Заполнение
23,Формы,Отправка
24,Формы,Результирующая
25,Формы,Проблемы с письмами с формы
26,Кросбраузерность,IE\Edge
27,Кросбраузерность,FF
28,Кросбраузерность,Chrome
29,Кросбраузерность,"Safari,opera,YA"
30,Наполнение,Заголовки
31,Наполнение,Текст на странице
32,Наполнение,Элементы страницы
33,Корзина/Каталог,Добавление товара в корзину
34,Корзина/Каталог,Покупка в 1 клик
35,Корзина/Каталог,Оформление заказа
36,Корзина/Каталог,Список товаров
37,Корзина/Каталог,Добавление товаров
38,Корзина/Каталог,Списковая каталога
39,Корзина/Каталог,Детальная товара
40,Элементы сайта,Пагинаця
41,ЛК,Отложенные товары
42,ЛК,Личные данные
43,ЛК,Заказы 
44,ЛК,Отображение элементов в ЛК
45,Корзина/Каталог,Оплата
46,Шапка сайта,Поиск
47,Регионы/язык,Выбор региона
48,Регионы/язык,Работа меток
49,Мобильные,iOS
50,Мобильные,Andriod
51,Мобильные,Другие
52,Адаптивка,Размыленые элементы
53,Служебные разделы ,404
54,Служебные разделы ,Поиск
55,Служебные разделы ,Проблемы с картой сайта
56,Общие параметры сайта,sitemap
57,Общие параметры сайта,GooglePageSpeed
58,Общие параметры сайта,robots.txt
59,Общие параметры сайта,Проверка валидации
60,Интеграционные штуки,CRM
61,Служебные разделы ,Политика конфиденциальности
62,Элементы сайта,Всплывашка с кукисами
63,Общие параметры сайта,Не подключены модули
64,Наполнение,Изображения на странице
65,Наполнение,Отступы
66,Наполнение,Наслоение элементов
67,Общие параметры сайта,sitemap.xml
68,Наполнение,Отсутствие элементов
69,Интеграционные штуки,Калькулятор
70,Наполнение,Видео
71,Шапка сайта,Фиксированное меню
72,Элементы сайта,Изменения языка
73,Админка,Ошибки в административной части
74,Регионы/язык,Проблема с выбором/переключением языка
75,Регионы/язык,Недопереводы
76,Интеграционные штуки,Карты
,Наполнение,Ссылки
,Общие параметры сайта,Редиректы
,Элементы сайта,Отзывы
,Общие параметры сайта,Гарантийная поддержка
,Общие параметры сайта,Название сайта
,Адаптивка,Таблицы
,Наполнение,Новости и статьи
,Элементы сайта,URL страниц
